wavelength,mean_albedo
380.0,0.16787167623034507
381.0,0.1869527348908446
382.0,0.1877754360787567
383.0,0.18863103909449389
384.0,0.12946392324079872
385.0,0.12805555393120396
386.0,0.08900464537022569
387.0,0.09298173449176646
388.0,0.13823782253721537
389.0,0.11710947412077317
390.0,0.105075862126867
391.0,0.09167287768453043
392.0,0.08284849280133992
393.0,0.1953762975474241
394.0,0.23785679671411764
395.0,0.2518079825515393
396.0,0.23311919287852134
397.0,0.22502783326634168
398.0,0.21894168343248463
399.0,0.21026670275138457
400.0,0.14935968269430633
401.0,0.10006319914779065
402.0,0.0013247732756606998
403.0,0.00114441766366035
404.0,0.030963309468004418
405.0,0.09514567660212325
406.0,0.09739486378830875
407.0,0.09100875939677229
408.0,0.11813196359942398
409.0,0.11910840531491483
410.0,0.1428253538824754
411.0,0.13562825210669696
412.0,0.12499454186108294
413.0,0.12262340663912795
414.0,0.12798735009684695
415.0,0.13348119645091105
416.0,0.11894697966423677
417.0,0.11933655801273307
418.0,0.11743309639921977
419.0,0.12035964577568137
420.0,0.11660745554364194
421.0,0.11141806736714675
422.0,0.10128891373325699
423.0,0.10207451798565341
424.0,0.09876805779606866
425.0,0.07776578635158737
426.0,0.06779846751688198
427.0,0.05300363223065391
428.0,0.048739087382974354
429.0,0.04355167452897929
430.0,0.037480559774199264
431.0,0.027682303273350018
432.0,0.025269342426381614
433.0,0.031136457915058632
434.0,0.026107205068157502
435.0,0.027688989222443866
436.0,0.022763564192092134
437.0,0.023769319201764047
438.0,0.02465437356170427
439.0,0.013024244471879984
440.0,0.009894134430918133
441.0,0.006761831526157516
442.0,0.0027364287289616163
443.0,0.00134485396392915
444.0,0.0012907600555894334
445.0,0.0011224498746041664
446.0,0.0010764245643968167
447.0,0.00214300740002155
448.0,0.0016806784060859334
449.0,0.00187484986027835
450.0,0.00283618736837935
451.0,0.005069876135233666
452.0,0.006781214158824933
453.0,0.007924783712302317
454.0,0.007233391720784701
455.0,0.008418324603871883
456.0,0.009040248421086616
457.0,0.009287878281351082
458.0,0.00986176646726045
459.0,0.009953952474047302
460.0,0.0106963914726296
461.0,0.012152311398807914
462.0,0.01369689035919115
463.0,0.013162086566553632
464.0,0.013966437704851384
465.0,0.015019797938447169
466.0,0.018306571861868334
467.0,0.017152379375132382
468.0,0.015425567782132485
469.0,0.012507198391597201
470.0,0.013850112828248218
471.0,0.01505211768424075
472.0,0.015322928844785049
473.0,0.015607869229028985
474.0,0.0142666801017048
475.0,0.011738024590095182
