colornum;r;g;b
1;221;213;199
2;190;189;191
3;176;176;174
4;136;135;137
5;80;84;87
6;45;41;38
7;147;169;209
8;200;107;168
9;241;205;0
10;191;25;50
11;136;176;75
12;0;36;156
13;255;148;37
14;90;91;159
15;217;79;112
16;101;66;138
17;252;249;81
18;255;184;28
19;120;230;208
20;147;169;209
21;136;176;75
22;147;169;209
23;255;192;160
24;153;104;72


