wavelength,CEILING,DAY LIGHT,FLUO_2700k,LED_2700k,LED_4000k,LED_6500k,mean_albedo
380.0,0.0,0.0014533285875385,0.0,0.0,0.0,0.0,0.00024222143125641668
381.0,0.0,0.0016571078765832,0.0,0.357843137254902,0.0,0.06427077391139,0.07062850317381253
382.0,0.0,0.0016642992977526,0.0,1.0,0.0,0.038860103626943,0.1734207338207826
383.0,0.0,0.001757276459904,7.83912853975848e-05,1.0,0.0,0.0386131296957753,0.17340813290684612
384.0,0.0,0.0017679851525332,0.0015973612422076,0.7532625189681335,0.0,0.0492328973843058,0.13431012712453003
385.0,0.0047246440555323,0.0018891155931113,0.0023049543049543,0.8175688691966866,0.0,0.1166791791791791,0.15719446038824395
386.0,0.0013703531704643,0.0021358768753258,0.0,1.0,0.0,0.0819239920262362,0.18090503701200442
387.0,0.0046526216738982,0.0024571760894773,0.0027789844507786,0.9548758328285888,0.0,0.0679770679770679,0.17212361383663513
388.0,0.0155315540480228,0.0029157672733762,0.0090438365054954,0.8129435620141939,0.0,0.12541272287035,0.16097457378523972
389.0,0.0237491951197076,0.0030924994147171,0.0152872904283458,0.7902226686757075,0.0,0.1300955825368122,0.1604078726958817
390.0,0.0195057847406529,0.0031882780709602,0.0195534182172231,0.7054743157105362,0.0,0.1170061822235735,0.14412132982715767
391.0,0.0129578302191989,0.0032609792542145,0.0195430410850626,0.6337382534953013,0.0,0.1297504045505811,0.1332084181007264
392.0,0.0015845488877347,0.0034219666151457,0.01742214647086,0.8287627551020409,0.0,0.1705554505951256,0.17029114461181782
393.0,0.024399839215921,0.003712273412122,0.0450711507361561,0.8894886789623632,0.0447741579383123,0.2577168809175583,0.21086049686373878
394.0,0.0497723596217667,0.0040282021524333,0.0663277239545504,0.7893551873198847,0.0928890655680435,0.3411985520847298,0.2239285151169014
395.0,0.0626014509557094,0.0042485682968533,0.0747206433901712,0.845804794520548,0.1020384830850492,0.3649632694960382,0.24239620162406159
396.0,0.0554421630412685,0.0044639630370734,0.0660217366917203,0.9188083499423058,0.0823120846829398,0.304369918699187,0.2385697026824158
397.0,0.0515144832800415,0.0048955320901398,0.0516332300366821,0.9606533036377136,0.0575624828053245,0.2790904754332962,0.23422491788053293
398.0,0.0530198796659204,0.005468008522616,0.0465235485800065,0.8596564725596983,0.0590088094886559,0.3002065924578335,0.22064721854578842
399.0,0.0510305279136448,0.0058710946057345,0.034675227172703,0.8357064622124863,0.0499707292085909,0.2645710148425244,0.20697084265928067
400.0,0.0238902397481528,0.0061096941309613,0.009901603618785,0.6964944649446495,0.0213282802143679,0.2057742149358085,0.16058308293212084
401.0,0.0100371549893842,0.0062639095987409,0.0078059849708248,0.592652729855896,0.0,0.1241024413595021,0.12347703679572468
402.0,0.0068926058350941,0.0061964934695108,0.0068095968929683,0.0,0.0,0.0,0.0033164493662622
403.0,0.0066706800117341,0.0062779400402672,0.0067913953253897,0.0,0.0,0.0,0.0032900025628985
404.0,0.0072524813508571,0.0064432208875024,0.0071529965735097,0.0,0.0,0.0,0.003474783135311533
405.0,0.0081796760624767,0.0065846655260807,0.0077642425617941,0.4426285910889386,0.0,0.0550850015089025,0.0867070294580321
