Tcp [K],3567
Illuminance [lx],249
Peak Wavelength [nm],608
Tristimulus Value X,257.8868
Tristimulus Value Y,248.5555
Tristimulus Value Z,137.2482
CIE1931 x,0.4006
CIE1931 y,0.3861
CIE1931 z,0.2132
CIE1976 u',0.2346
CIE1976 v',0.5086
Dominant Wavelength [nm],581
