380,16807.394333333334
381,16959.21575
382,17329.365
383,17762.999
384,18105.355666666666
385,18140.49925
386,17729.13525
387,17603.3375
388,17823.01025
389,17790.545
390,17961.89
391,18788.298
392,19811.0495
393,20724.69925
394,21689.266499999998
395,22646.629
396,23578.54425
397,24373.90825
398,24982.58725
399,25461.26575
400,26123.239
401,27272.983
402,28214.935999999998
403,28795.592
404,29608.212
405,30720.467
406,31478.78375
407,31832.8115
408,32012.9865
409,32162.608
410,32185.49875
411,32173.952
412,32200.344250000002
413,32273.8265
414,32437.6425
415,32524.0585
416,32515.67125
417,32463.199500000002
418,32506.10275
419,32459.437250000003
420,32272.814749999998
421,32065.516
422,31720.28225
423,31216.35125
424,30869.2735
425,30797.355
426,30780.85525
427,30753.3535
428,30846.27825
429,30986.7975
430,31085.80925
431,31116.4525
432,31184.6125
433,31322.1765
434,31553.64925
435,31864.668749999997
436,32206.713499999998
437,32674.3845
438,33292.86675
439,33842.83025
440,34164.18866666666
441,34453.38075
442,34874.92375
443,35312.36125
444,35624.97825
445,35885.89075
446,36189.71
447,36578.577999999994
448,36932.8195
449,37308.941999999995
450,37654.17875
451,37958.71925
452,38277.751000000004
453,38674.55825
454,39116.342000000004
455,39504.18975
456,39833.53475
457,40107.32325
458,40307.37525
459,40440.02575
460,40639.24475
461,40930.97775
462,41173.14625
463,41336.865
464,41460.759
465,41593.74375
466,41787.1875
467,42023.22075
468,42280.98375
469,42472.465
470,42716.17525
471,43009.502250000005
472,43376.7345
473,43805.859
474,44334.54775
475,44883.73575
476,45452.092000000004
477,45969.414749999996
478,46418.24075
479,46682.475
480,46980.8285
481,47380.3655
482,47847.83725
483,48355.775
484,48850.44725
485,49242.89125
486,49593.541
487,49944.0525
488,50275.187
489,50561.250199999995
490,50792.157999999996
491,50926.91225
492,51081.13025
493,51306.48675
494,51621.463749999995
495,51831.99725
496,51910.14375
497,51864.32175
498,51783.06325
499,51750.205
500,51718.431
501,51631.4485
502,51506.34225
503,51339.682
504,51192.929000000004
505,51029.310750000004
506,50833.565
507,50594.0115
508,50410.457500000004
509,50174.7185
510,49792.74175
511,49399.803
512,49127.44725
513,48879.5395
514,48639.768
515,48433.83425
516,48236.0025
517,48066.982
518,47908.407250000004
519,47632.545
520,47231.0674
521,46963.636
522,46853.182499999995
523,46758.87475
524,46802.619000000006
525,46910.66325
526,46977.922999999995
527,46950.59975
528,46883.28875
529,46774.66
530,46614.17475
531,46451.1074
532,46183.0135
533,45878.65025
534,45662.447
535,45519.43475
536,45311.85575
537,45035.991500000004
538,44754.113
539,44436.50125
540,44145.0782
541,43872.978749999995
542,43629.81675
543,43334.55975
544,43044.265
545,42788.41775
546,42501.741
547,42258.62525
548,42089.20325
549,41880.998999999996
550,41616.18825
551,41307.47925
552,40944.54025
553,40582.08425
554,40250.27425
555,39935.96625
556,39641.66425
557,39290.4578
558,38920.466
559,38589.58875
560,38283.3465
561,38004.73475
562,37707.36125
563,37407.79275
564,37137.517
565,36905.680799999995
566,36747.323
567,36634.550749999995
568,36459.25525
569,36240.589
570,35999.623250000004
571,35720.5995
572,35395.6556
573,35115.66775
574,34872.2715
575,34621.62675
576,34372.71175
577,34137.314
578,33827.1308
579,33484.2175
580,33131.66325
581,32688.557249999998
582,32118.300499999998
583,31546.613
584,30988.76
585,30500.63275
586,30144.1255
587,29784.1015
588,29423.807
589,29092.7345
590,28756.4024
591,28453.805
592,28253.14525
593,28118.5585
594,28015.51875
595,27954.61225
596,28046.933
597,28309.62925
598,28522.89625
599,28669.7585
600,28765.9185
601,28787.906200000005
602,28772.605499999998
603,28683.83325
604,28531.2365
605,28324.9695
606,28056.106
607,27662.6178
608,27237.6235
609,26814.65175
610,26357.94225
611,25884.66575
612,25357.6326
613,24861.00525
614,24429.32975
615,24011.0025
616,23566.4836
617,23133.33425
618,22777.229
619,22420.608
620,22081.75725
621,21697.8254
622,21314.66525
623,20985.39775
624,20691.0755
625,20401.79925
626,20081.5872
627,19756.99825
628,19473.906
629,19223.0105
630,18953.198800000002
631,18724.04325
632,18548.78975
633,18365.1555
634,18177.08275
635,17994.3232
636,17847.4675
637,17730.46225
638,17599.305249999998
639,17418.4542
640,17189.51875
641,16965.32975
642,16718.06025
643,16436.6146
644,16176.21925
645,15931.488
646,15690.515
647,15426.142199999998
648,15158.990249999999
649,14880.9915
650,14563.91475
651,14242.209400000002
652,13988.995
653,13823.20025
654,13684.719000000001
655,13558.462599999999
656,13452.31575
657,13355.65625
658,13222.703399999999
659,13093.18525
660,12965.53575
661,12845.529
662,12721.5292
663,12634.59325
664,12604.84475
665,12547.5975
666,12434.199799999999
667,12272.6
668,12117.19075
669,11948.3236
670,11777.71325
671,11621.1015
672,11472.47975
673,11304.6812
674,11135.843
675,10977.56025
676,10806.9312
677,10636.1145
678,10482.6735
679,10298.3162
680,10030.49625
681,9739.6265
682,9455.9425
683,9150.3386
684,8869.786
685,8659.5375
686,8416.0528
687,8153.173500000001
688,7929.733749999999
689,7698.9216
690,7489.41025
691,7324.6165
692,7137.0678
693,6954.365
694,6858.96
695,6816.5048
696,6781.7474999999995
697,6755.46125
698,6710.3958
699,6638.311
700,6580.39475
701,6536.4308
702,6499.9395
703,6448.4127499999995
704,6375.467
705,6282.664
706,6211.249
707,6141.4468
708,6069.65025
709,6005.37025
710,5885.325999999999
711,5695.767
712,5492.10375
713,5255.8994
714,5038.22975
715,4878.944750000001
716,4710.118799999999
717,4523.1605
718,4323.514999999999
719,4132.9515
720,3966.19225
721,3789.4626000000003
722,3615.98
723,3464.05475
