couleur : jaune
angle source :0
angle capteur :30
source : 6500K
FLMT02171_1:101		
271,43	428,06	
271,691	210,59	
271,952	-84,03	
272,213	-96,31	
272,473	-454,07	
272,734	261,45	
272,995	-496,16	
273,256	-559,29	
273,516	-203,29	
273,777	-87,54	
274,038	-255,9	
274,298	231,64	
274,559	-45,45	
274,82	-257,65	
275,08	-87,54	
275,341	-532,99	
275,601	-454,07	
275,862	-189,26	
276,122	333,35	
276,383	-133,14	
276,643	293,02	
276,904	210,59	
277,164	461,38	
277,425	466,64	
277,685	-159,44	
277,946	96,6	
278,206	-345,34	
278,467	-43,7	
278,727	522,76	
278,987	172,01	
279,248	307,05	
279,508	114,14	
279,768	-117,35	
280,029	-24,41	
280,289	-24,41	
280,549	-54,22	
280,81	35,22	
281,07	308,8	
281,33	-283,96	
281,59	470,14	
281,851	42,24	
282,111	5,41	
282,371	380,7	
282,631	-98,06	
282,891	-166,46	
283,151	-198,02	
283,412	-22,65	
283,672	31,71	
283,932	124,66	
284,192	-378,66	
284,452	-191,01	
284,712	236,9	
284,972	24,7	
285,232	303,54	
285,492	128,17	
285,752	229,88	
286,012	-26,16	
286,272	-466,35	
286,532	329,85	
286,792	175,52	
287,052	-173,47	
287,312	-164,7	
287,571	52,76	
287,831	-64,74	
288,091	159,74	
288,351	-347,09	
288,611	-441,79	
288,871	-238,36	
289,13	-194,52	
289,39	107,12	
289,65	108,88	
289,91	577,12	
290,17	293,02	
290,429	-143,66	
290,689	0,15	
290,949	77,31	
291,208	-55,97	
291,468	-345,34	
291,728	73,8	
291,987	-447,05	
292,247	-180,49	
292,506	622,72	
292,766	121,15	
293,026	7,16	
293,285	-105,08	
293,545	273,73	
293,804	-176,98	
294,064	410,52	
294,323	58,02	
294,583	-348,85	
294,842	-390,93	
295,102	229,88	
295,361	449,1	
295,621	277,23	
295,88	252,68	
296,139	-101,57	
296,399	286	
296,658	114,14	
296,917	-357,61	
297,177	-54,22	
297,436	554,32	
297,695	19,44	
297,955	294,77	
298,214	-268,17	
298,473	115,89	
298,732	40,48	
298,992	212,35	
299,251	-57,73	
299,51	-138,4	
299,769	161,49	
300,028	-422,5	
300,287	-20,9	
300,547	-468,1	
300,806	196,56	
301,065	-555,79	
301,324	128,17	
301,583	65,03	
301,842	266,71	
302,101	19,44	
302,36	356,15	
302,619	400	
302,878	147,46	
303,137	124,66	
303,396	-152,43	
303,655	293,02	
303,914	233,39	
304,173	-50,71	
304,432	128,17	
304,691	-371,64	
304,95	321,08	
305,208	266,71	
305,467	-169,97	
305,726	-620,67	
305,985	-106,83	
306,244	-36,68	
306,503	-103,32	
306,761	198,32	
307,02	-283,96	
307,279	271,97	
307,537	128,17	
307,796	-448,81	
308,055	-224,33	
308,314	-94,56	
308,572	212,35	
308,831	-312,02	
309,09	454,36	
309,348	254,44	
309,607	-133,14	
309,865	308,8	
310,124	392,98	
310,382	166,75	
310,641	-66,5	
310,9	-464,59	
311,158	198,32	
311,417	26,45	
311,675	-222,58	
311,933	-227,84	
312,192	275,48	
312,45	-294,48	
312,709	-106,83	
312,967	378,95	
