Longueur d'onde (nm),Valeurs
380,0.000000000000
381,0.000030749208
382,0.000080696234
383,0.000124077211
384,0.000160449039
385,0.000189541344
386,0.000211540697
387,0.000226708347
388,0.000235305561
389,0.000237766231
390,0.000235174462
391,0.000228767472
392,0.000219782509
393,0.000209177699
394,0.000196401728
395,0.000180395262
396,0.000160098614
397,0.000134641319
398,0.000104645107
399,0.000071438895
400,0.000036355850
401,0.000000722372
402,0.000000000000
403,0.000000000000
404,0.000000000000
405,0.000000000000
406,0.000000000000
407,0.000000000000
408,0.000000000000
409,0.000000000000
410,0.000000000000
411,0.000000000000
412,0.000000000000
413,0.000000000000
414,0.000000000000
415,0.000000000000
416,0.000000000000
417,0.000000000000
418,0.000000000000
419,0.000043918357
420,0.000110771391
421,0.000189550716
422,0.000280809938
423,0.000385437481
424,0.000504389522
425,0.000638622208
426,0.000789395184
427,0.000959379366
428,0.001151654869
429,0.001369302394
430,0.001615490299
431,0.001893977053
432,0.002208764432
433,0.002563855145
434,0.002963062376
435,0.003408309305
436,0.003900433891
437,0.004440261982
438,0.005028354004
439,0.005662733223
440,0.006339356303
441,0.007054056972
442,0.007802627049
443,0.008579469286
444,0.009377364069
445,0.010188999586
446,0.011007072404
447,0.011823202483
448,0.012627100572
449,0.013408345170
450,0.014156502672
451,0.014862098731
452,0.015518459491
453,0.016119230539
454,0.016658062115
455,0.017128456384
456,0.017523368821
457,0.017835624516
458,0.018058044836
459,0.018184417859
460,0.018213190138
461,0.018144702539
462,0.017979322001
463,0.017718013376
464,0.017368158326
465,0.016940664500
466,0.016446448863
467,0.015896491706
468,0.015302760527
469,0.014678030275
470,0.014035093598
471,0.013386714272
472,0.012743780389
473,0.012114901096
474,0.011508591473
475,0.010933334939
476,0.010395191610
477,0.009895994328
478,0.009437154979
479,0.009020073339
480,0.008645744994
481,0.008314348757
482,0.008025851101
483,0.007780223154
484,0.007577128708
485,0.007414684631
486,0.007290702313
487,0.007202994544
488,0.007149489596
489,0.007129174192
490,0.007141374517
491,0.007185410243
492,0.007260665298
