Longueur d'onde (nm),Valeurs
380,0.000000000000
381,0.000000000000
382,0.000000000000
383,0.000000000000
384,0.000000000000
385,0.000000000000
386,0.000000000000
387,0.000000000000
388,0.000000000000
389,0.000000000000
390,0.000000000000
391,0.000000000000
392,0.000000000000
393,0.000000000000
394,0.000000000000
395,0.000000000000
396,0.000000000000
397,0.000000000000
398,0.000000000000
399,0.000000000000
400,0.000000000000
401,0.000000000000
402,0.000000000000
403,0.000000000000
404,0.000000000000
405,0.000000000000
406,0.000000000000
407,0.000000000000
408,0.000000000000
409,0.000000000000
410,0.000000000000
411,0.000000000000
412,0.000014978606
413,0.000076083881
414,0.000146919920
415,0.000228572375
416,0.000322139473
417,0.000428723200
418,0.000550348195
419,0.000691156136
420,0.000855584396
421,0.001048070379
422,0.001272461377
423,0.001530689653
424,0.001824299688
425,0.002154836431
426,0.002524171956
427,0.002935707336
428,0.003393285908
429,0.003900751006
430,0.004461345728
431,0.005074277986
432,0.005737092346
433,0.006447330117
434,0.007203898393
435,0.008019331843
436,0.008913991973
437,0.009908331558
438,0.011021065526
439,0.012243987061
440,0.013547609560
441,0.014901855960
442,0.016276322305
443,0.017634520307
444,0.018932932988
445,0.020127471536
446,0.021174313501
447,0.022042054683
448,0.022719902918
449,0.023199345917
450,0.023471836001
451,0.023533089086
452,0.023390641436
453,0.023053582758
454,0.022530999035
455,0.021837169304
456,0.021006505936
457,0.020078305155
458,0.019091866910
459,0.018083840609
460,0.017075777054
461,0.016083566472
462,0.015123086050
463,0.014209392481
464,0.013348877430
465,0.012543167919
466,0.011793868616
467,0.011102395132
468,0.010467967950
469,0.009887997992
470,0.009359807707
471,0.008880771697
472,0.008448922075
473,0.008063049056
474,0.007722034585
475,0.007424751297
476,0.007169430144
477,0.006953183562
478,0.006773011759
479,0.006625909358
480,0.006509691942
481,0.006424445659
482,0.006370558403
483,0.006348416675
484,0.006357877981
485,0.006396477576
486,0.006461220328
487,0.006549112033
488,0.006657306571
489,0.006784037221
490,0.006927914917
491,0.007087549195
492,0.007261463441
493,0.007447289303
494,0.007642149925
495,0.007843163796
496,0.008047526702
497,0.008253750391
498,0.008461440913
499,0.008670238778
500,0.008879777044
501,0.009089383297
502,0.009298016317
503,0.009504616261
504,0.009708125144
505,0.009907734580
506,0.010103102773
507,0.010293927975
508,0.010479908437
509,0.010660696775
510,0.010835774243
511,0.011004610918
512,0.011166674085
513,0.011321581900
514,0.011469623074
515,0.011611242779
516,0.011746888049
517,0.011876913719
518,0.012001097202
519,0.012118995190
520,0.012230159715
521,0.012334166095
522,0.012430680916
523,0.012519430369
524,0.012600148097
525,0.012672628276
526,0.012737724930
527,0.012797203846
528,0.012852857821
529,0.012906447053
530,0.012958483770
531,0.013007929549
532,0.013053659350
533,0.013094549999
534,0.013129984029
535,0.013160279952
536,0.013185849413
537,0.013207107782
538,0.013224272057
539,0.013237033039
540,0.013244989328
541,0.013247741386
542,0.013245068491
543,0.013237455860
544,0.013225578703
545,0.013210112229
546,0.013191751204
547,0.013171485625
548,0.013150397688
549,0.013129564002
550,0.013110030442
551,0.013092461042
552,0.013077231124
553,0.013064705767
554,0.013055231422
555,0.013048280962
556,0.013042064384
557,0.013034694828
558,0.013024283573
559,0.013009788468
560,0.012992599979
561,0.012974549085
562,0.012957463041
563,0.012942925096
564,0.012931007892
565,0.012921217829
566,0.012913058512
567,0.012906008400
568,0.012899199501
569,0.012891505845
570,0.012881793082
571,0.012868939899
572,0.012852467597
573,0.012832823209
574,0.012810527347
575,0.012786098756
576,0.012759923004
577,0.012731997296
578,0.012702250853
579,0.012670611963
580,0.012637018226
581,0.012601471506
582,0.012563993223
583,0.012524609454
584,0.012483324856
585,0.012439902872
586,0.012393919751
587,0.012344949879
588,0.012292554602
589,0.012236259878
590,0.012175567448
591,0.012109954841
592,0.012038899586
593,0.011962616816
594,0.011883241124
595,0.011803227477
596,0.011725033633
597,0.011650628410
598,0.011579590850
599,0.011510755867
600,0.011442963965
601,0.011375078000
602,0.011306216940
603,0.011235642247
604,0.011162616313
605,0.011086404324
606,0.011006218381
607,0.010921211913
608,0.010830545798
609,0.010733387433
610,0.010629654862
611,0.010520576499
612,0.010407510214
613,0.010291812941
614,0.010174880736
615,0.010058226064
616,0.009943383746
617,0.009831889533
618,0.009724840522
619,0.009620741010
620,0.009517137893
621,0.009411579929
622,0.009301726706
623,0.009186563082
624,0.009065946564
625,0.008939748630
626,0.008807871491
627,0.008671104908
628,0.008531258442
629,0.008390193805
630,0.008249769919
631,0.008111531846
632,0.007976348512
633,0.007845015265
634,0.007718330249
635,0.007596400101
636,0.007476664614
637,0.007355954498
638,0.007231100462
639,0.007099492475
640,0.006962646730
641,0.006823931355
642,0.006686720997
643,0.006554234307
644,0.006427127402
645,0.006303977687
646,0.006183302961
647,0.006063630339
648,0.005943933968
649,0.005823834334
650,0.005703003146
651,0.005581111182
652,0.005458187312
653,0.005335202441
654,0.005213280674
655,0.005093548447
656,0.004976851866
657,0.004862622358
658,0.004749842454
659,0.004637494218
660,0.004524662625
661,0.004411494825
662,0.004298765212
663,0.004187255632
664,0.004077735823
665,0.003970649093
666,0.003866095794
667,0.003764160210
668,0.003664921736
669,0.003568190848
670,0.003473283490
671,0.003379452741
672,0.003285957733
673,0.003192613367
674,0.003100286936
675,0.003009962384
676,0.002922620159
677,0.002838755259
678,0.002757942770
679,0.002679657657
680,0.002603376051
681,0.002528890036
682,0.002456580289
683,0.002386886161
684,0.002320242114
685,0.002256696345
686,0.002195583656
687,0.002136162017
688,0.002077694982
689,0.002019909676
690,0.001963388873
691,0.001908806269
692,0.001856830437
693,0.001807564055
694,0.001760070096
695,0.001713299775
696,0.001666212687
697,0.001618478680
698,0.001571063651
699,0.001525077852
700,0.001481624553
701,0.001441217028
702,0.001403313945
703,0.001367263612
704,0.001332418062
705,0.001298217452
706,0.001264244318
707,0.001230104826
708,0.001195396762
709,0.001159984968
710,0.001124412403
711,0.001089266385
712,0.001055134344
713,0.001022453886
714,0.000991007662
715,0.000960398756
716,0.000930230657
717,0.000900150451
718,0.000870214426
719,0.000840701046
720,0.000811891281
721,0.000784066389
722,0.000757517584
723,0.000732546614
724,0.000709455460
725,0.000688544358
726,0.000669875008
727,0.000653046067
728,0.000637603109
729,0.000623091473
730,0.000609167677
731,0.000595918449
732,0.000583535060
733,0.000572208781
734,0.000562095200
735,0.000553060207
736,0.000544828363
737,0.000537123298
738,0.000529675104
739,0.000522342511
740,0.000515103457
741,0.000507940189
742,0.000500835129
743,0.000493776053
744,0.000486760284
745,0.000479786017
746,0.000472851505
747,0.000465944351
748,0.000459015631
749,0.000452008535
750,0.000444866309
751,0.000437543815
752,0.000430079788
753,0.000422549463
754,0.000415028218
755,0.000407588406
756,0.000400250981
