Surface Order,Tcp [K],Illuminance [lx],Peak Wavelength [nm],Tristimulus Value X,Tristimulus Value Y,Tristimulus Value Z,CIE1931 x,CIE1931 y,CIE1931 z,CIE1976 u',CIE1976 v',Dominant Wavelength [nm]
1,6012,165,454,155.8107,165.0780,164.0944,0.3213,0.3404,0.3384,0.1995,0.4755,499
2,6221,140,454,131.4492,140.3653,142.7618,0.3171,0.3386,0.3444,0.1973,0.4740,496
3,6094,96.8,454,92.2007,96.8158,99.1990,0.3199,0.3359,0.3442,0.2002,0.4730,494
4,5433,70.2,454,66.8338,70.2495,62.9247,0.3342,0.3512,0.3146,0.2042,0.4829,556
5,5438,43.8,454,43.3784,43.7599,42.8246,0.3338,0.3367,0.3295,0.2095,0.4755,560
6,6664,29.4,454,27.9915,29.3575,32.8394,0.3104,0.3255,0.3641,0.1975,0.4661,487
7,10997,61.3,455,54.8181,61.2581,89.5409,0.2666,0.2979,0.4355,0.1765,0.4438,485
8,4171,66.9,453,78.4174,66.9128,74.2325,0.3572,0.3048,0.3381,0.2404,0.4615,-508
9,3712,134,580,124.0731,133.9226,41.1708,0.4147,0.4477,0.1376,0.2199,0.5342,574
10,3212,55.6,621,64.8252,55.5644,42.7925,0.3973,0.3405,0.2622,0.2526,0.4871,601
11,6252,80.6,536,63.8904,80.5980,61.0390,0.3109,0.3922,0.2970,0.1755,0.4982,530
12,11827,50.0,454,52.0353,50.0408,84.4274,0.2790,0.2683,0.4527,0.1971,0.4265,473
13,2788,67.0,599,76.8069,67.0384,31.0800,0.4391,0.3832,0.1777,0.2613,0.5132,587
14,14616,50.5,454,53.4984,50.5089,91.9184,0.2731,0.2578,0.4691,0.1969,0.4182,471
15,2985,57.2,613,71.0514,57.1887,51.0462,0.3963,0.3190,0.2847,0.2627,0.4757,-495
16,5023,44.9,454,47.4766,44.9362,46.3576,0.3421,0.3238,0.3341,0.2207,0.4699,-507
17,4730,103,543,87.0108,103.0878,49.6304,0.3630,0.4300,0.2070,0.1953,0.5206,565
18,3818,105,587,101.4647,104.6306,49.1899,0.3975,0.4099,0.1927,0.2232,0.5178,576
19,6961,102,455,83.4845,102.0228,95.0152,0.2976,0.3637,0.3387,0.1759,0.4836,503
20,8114,66.5,454,64.2908,66.4837,87.8909,0.2940,0.3040,0.4019,0.1941,0.4515,481
21,5685,42.2,454,37.1930,42.2263,34.0858,0.3277,0.3720,0.3003,0.1925,0.4917,547
22,9033,55.1,454,55.5608,55.0845,80.9002,0.2901,0.2876,0.4224,0.1976,0.4409,476
23,4326,75.2,455,79.4361,75.2454,64.8251,0.3619,0.3428,0.2953,0.2265,0.4828,591
24,3956,36.7,593,38.7693,36.7412,27.4647,0.3765,0.3568,0.2667,0.2307,0.4919,586
25,6316,1090,454,1035.4447,1092.3844,1151.3979,0.3158,0.3331,0.3511,0.1984,0.4710,491
